t_GeV2,incoherent_nb_per_GeV2
6.960000000000000631e-01,3.277148216226783006e+01
6.990000000000000657e-01,3.270106824424180303e+01
7.020000000000000684e-01,3.263054930075094973e+01
7.049999999999999600e-01,3.255993057313967398e+01
7.079999999999999627e-01,3.248921720522733381e+01
7.109999999999999654e-01,3.241841424497305013e+01
7.139999999999999680e-01,3.234752664611275463e+01
7.169999999999999707e-01,3.227655926976815692e+01
7.199999999999999734e-01,3.220551688602973428e+01
7.229999999999999760e-01,3.213440417551140627e+01
7.259999999999999787e-01,3.206322573088030481e+01
7.289999999999999813e-01,3.199198605836006593e+01
7.319999999999999840e-01,3.192068957920953665e+01
7.349999999999999867e-01,3.184934063117546188e+01
7.379999999999999893e-01,3.177794346992162033e+01
7.409999999999999920e-01,3.170650227043325486e+01
7.439999999999999947e-01,3.163502112839855585e+01
7.469999999999999973e-01,3.156350406156566635e+01
7.500000000000000000e-01,3.149195501107827155e+01
7.530000000000000027e-01,3.142037784278748802e+01
7.560000000000000053e-01,3.134877634854199258e+01
7.590000000000000080e-01,3.127715424745690953e+01
7.620000000000000107e-01,3.120551518716042949e+01
7.650000000000000133e-01,3.113386274502002848e+01
7.680000000000000160e-01,3.106220042934799608e+01
7.710000000000000187e-01,3.099053168058601315e+01
7.740000000000000213e-01,3.091885987247059475e+01
7.770000000000000240e-01,3.084718831317825050e+01
7.800000000000000266e-01,3.077552024645159179e+01
7.830000000000000293e-01,3.070385885270664517e+01
7.860000000000000320e-01,3.063220725012084600e+01
7.890000000000000346e-01,3.056056849570331835e+01
7.920000000000000373e-01,3.048894558634687257e+01
7.950000000000000400e-01,3.041734145986191962e+01
7.980000000000000426e-01,3.034575899599426663e+01
8.010000000000000453e-01,3.027420101742274028e+01
8.040000000000000480e-01,3.020267029074447507e+01
8.070000000000000506e-01,3.013116952743902388e+01
8.100000000000000533e-01,3.005970138481943366e+01
8.130000000000000560e-01,2.998826846696524839e+01
8.160000000000000586e-01,2.991687332564151447e+01
8.190000000000000613e-01,2.984551846120061214e+01
8.220000000000000639e-01,2.977420632346976603e+01
8.250000000000000666e-01,2.970293931262363785e+01
8.280000000000000693e-01,2.963171978004196561e+01
8.310000000000000719e-01,2.956055002915225316e+01
8.339999999999999636e-01,2.948943231625951356e+01
8.369999999999999662e-01,2.941836885136016377e+01
8.399999999999999689e-01,2.934736179894418129e+01
8.429999999999999716e-01,2.927641327878233213e+01
8.459999999999999742e-01,2.920552536670033916e+01
8.489999999999999769e-01,2.913470009534015048e+01
8.519999999999999796e-01,2.906393945490891539e+01
8.549999999999999822e-01,2.899324539391398403e+01
8.579999999999999849e-01,2.892261981988690422e+01
8.609999999999999876e-01,2.885206460009385054e+01
8.639999999999999902e-01,2.878158156223540587e+01
8.669999999999999929e-01,2.871117249513321568e+01
8.699999999999999956e-01,2.864083914940637854e+01
8.729999999999999982e-01,2.857058323813508238e+01
8.760000000000000009e-01,2.850040643751385971e+01
8.790000000000000036e-01,2.843031038749365536e+01
8.820000000000000062e-01,2.836029669241279549e+01
8.850000000000000089e-01,2.829036692161767519e+01
8.880000000000000115e-01,2.822052261007253193e+01
8.910000000000000142e-01,2.815076525895947768e+01
8.940000000000000169e-01,2.808109633626719415e+01
8.970000000000000195e-01,2.801151727737168073e+01
9.000000000000000222e-01,2.794202948560524646e+01
9.030000000000000249e-01,2.787263433281665925e+01
9.060000000000000275e-01,2.780333315992189114e+01
9.090000000000000302e-01,2.773412727744593553e+01
9.120000000000000329e-01,2.766501796605414754e+01
9.150000000000000355e-01,2.759600647707582155e+01
9.180000000000000382e-01,2.752709403301908253e+01
9.210000000000000409e-01,2.745828182807534645e+01
9.240000000000000435e-01,2.738957102861731840e+01
9.270000000000000462e-01,2.732096277368734860e+01
9.300000000000000488e-01,2.725245817547771665e+01
9.330000000000000515e-01,2.718405831980307852e+01
9.360000000000000542e-01,2.711576426656452909e+01
9.390000000000000568e-01,2.704757705020616498e+01
9.420000000000000595e-01,2.697949768016359684e+01
9.450000000000000622e-01,2.691152714130527812e+01
9.480000000000000648e-01,2.684366639436578694e+01
9.510000000000000675e-01,2.677591637637233291e+01
9.540000000000000702e-01,2.670827800106354388e+01
9.570000000000000728e-01,2.664075215930182949e+01
9.599999999999999645e-01,2.657333971947767282e+01
9.629999999999999671e-01,2.650604152790861079e+01
9.659999999999999698e-01,2.643885840922960995e+01
9.689999999999999725e-01,2.637179116677861757e+01
9.719999999999999751e-01,2.630484058297403749e+01
9.749999999999999778e-01,2.623800741968730321e+01
9.779999999999999805e-01,2.617129241860759237e+01
9.809999999999999831e-01,2.610469630160150700e+01
9.839999999999999858e-01,2.603821977106635188e+01
9.869999999999999885e-01,2.597186351027692552e+01
9.899999999999999911e-01,2.590562818372731968e+01
9.929999999999999938e-01,2.583951443746591892e+01
9.959999999999999964e-01,2.577352289942571417e+01
9.989999999999999991e-01,2.570765417974830669e+01
1.002000000000000002e+00,2.564190887110230221e+01
1.005000000000000115e+00,2.557628754899725365e+01
1.008000000000000007e+00,2.551079077209134738e+01
1.011000000000000121e+00,2.544541908249387774e+01
1.014000000000000012e+00,2.538017300606344406e+01
1.017000000000000126e+00,2.531505305270002282e+01
1.020000000000000018e+00,2.525005971663294346e+01
1.023000000000000131e+00,2.518519347670303432e+01
1.026000000000000023e+00,2.512045479664129743e+01
1.028999999999999915e+00,2.505584412534155803e+01
1.032000000000000028e+00,2.499136189712887202e+01
1.034999999999999920e+00,2.492700853202422806e+01
1.038000000000000034e+00,2.486278443600303234e+01
1.040999999999999925e+00,2.479869000125109224e+01
1.044000000000000039e+00,2.473472560641460305e+01
1.046999999999999931e+00,2.467089161684732801e+01
1.050000000000000044e+00,2.460718838485206916e+01
1.052999999999999936e+00,2.454361624991965840e+01
1.056000000000000050e+00,2.448017553896231746e+01
1.058999999999999941e+00,2.441686656654413312e+01
1.062000000000000055e+00,2.435368963510739349e+01
1.064999999999999947e+00,2.429064503519441232e+01
1.068000000000000060e+00,2.422773304566649344e+01
1.070999999999999952e+00,2.416495393391873847e+01
1.074000000000000066e+00,2.410230795609089682e+01
1.076999999999999957e+00,2.403979535727542327e+01
1.080000000000000071e+00,2.397741637172105911e+01
1.082999999999999963e+00,2.391517122303343967e+01
1.086000000000000076e+00,2.385306012437254353e+01
1.088999999999999968e+00,2.379108327864609862e+01
1.092000000000000082e+00,2.372924087870013921e+01
1.094999999999999973e+00,2.366753310750650385e+01
1.098000000000000087e+00,2.360596013834620877e+01
1.100999999999999979e+00,2.354452213499097724e+01
1.104000000000000092e+00,2.348321925188067283e+01
1.106999999999999984e+00,2.342205163429809289e+01
1.110000000000000098e+00,2.336101941854051844e+01
1.112999999999999989e+00,2.330012273208917151e+01
1.116000000000000103e+00,2.323936169377459748e+01
1.118999999999999995e+00,2.317873641393975959e+01
1.122000000000000108e+00,2.311824699460041188e+01
1.125000000000000000e+00,2.305789352960308136e+01
1.128000000000000114e+00,2.299767610477943691e+01
1.131000000000000005e+00,2.293759479809849822e+01
1.134000000000000119e+00,2.287764967981671660e+01
1.137000000000000011e+00,2.281784081262452091e+01
1.140000000000000124e+00,2.275816825179132152e+01
1.143000000000000016e+00,2.269863204530688350e+01
1.146000000000000130e+00,2.263923223402174401e+01
1.149000000000000021e+00,2.257996885178392787e+01
1.152000000000000135e+00,2.252084192557399334e+01
1.155000000000000027e+00,2.246185147563743456e+01
1.157999999999999918e+00,2.240299751561530428e+01
1.161000000000000032e+00,2.234428005267188055e+01
1.163999999999999924e+00,2.228569908762071705e+01
1.167000000000000037e+00,2.222725461504843381e+01
1.169999999999999929e+00,2.216894662343611344e+01
1.173000000000000043e+00,2.211077509527853380e+01
1.175999999999999934e+00,2.205274000720225303e+01
1.179000000000000048e+00,2.199484133008041553e+01
1.181999999999999940e+00,2.193707902914647079e+01
1.185000000000000053e+00,2.187945306410546209e+01
1.187999999999999945e+00,2.182196338924371659e+01
1.191000000000000059e+00,2.176460995353642502e+01
1.193999999999999950e+00,2.170739270075357652e+01
1.197000000000000064e+00,2.165031156956365876e+01
1.199999999999999956e+00,2.159336649363612182e+01
1.203000000000000069e+00,2.153655740174173161e+01
1.205999999999999961e+00,2.147988421785114355e+01
1.209000000000000075e+00,2.142334686123200171e+01
1.211999999999999966e+00,2.136694524654443939e+01
1.215000000000000080e+00,2.131067928393416366e+01
1.217999999999999972e+00,2.125454887912530566e+01
1.221000000000000085e+00,2.119855393351019757e+01
1.223999999999999977e+00,2.114269434423863459e+01
1.227000000000000091e+00,2.108697000430510471e+01
1.229999999999999982e+00,2.103138080263482124e+01
1.233000000000000096e+00,2.097592662416764497e+01
1.235999999999999988e+00,2.092060734994153748e+01
1.239000000000000101e+00,2.086542285717355938e+01
1.241999999999999993e+00,2.081037301934025763e+01
1.245000000000000107e+00,2.075545770625608455e+01
1.247999999999999998e+00,2.070067678415086121e+01
1.251000000000000112e+00,2.064603011574564206e+01
1.254000000000000004e+00,2.059151756032722602e+01
1.257000000000000117e+00,2.053713897382179354e+01
1.260000000000000009e+00,2.048289420886697343e+01
1.263000000000000123e+00,2.042878311488206222e+01
1.266000000000000014e+00,2.037480553813842121e+01
1.269000000000000128e+00,2.032096132182714499e+01
1.272000000000000020e+00,2.026725030612678324e+01
1.275000000000000133e+00,2.021367232826896299e+01
1.278000000000000025e+00,2.016022722260332145e+01
1.280999999999999917e+00,2.010691482066149050e+01
1.284000000000000030e+00,2.005373495121927618e+01
1.286999999999999922e+00,2.000068744035839785e+01
1.290000000000000036e+00,1.994777211152713292e+01
1.292999999999999927e+00,1.989498878559924577e+01
1.296000000000000041e+00,1.984233728093265015e+01
1.298999999999999932e+00,1.978981741342662559e+01
1.302000000000000046e+00,1.973742899657826300e+01
1.304999999999999938e+00,1.968517184153743216e+01
1.308000000000000052e+00,1.963304575716158240e+01
1.310000000000000053e+00,1.959836775587379165e+01
1.310999999999999943e+00,1.958105055006897288e+01
1.314000000000000057e+00,1.952918602469089748e+01
1.316999999999999948e+00,1.947745198332375338e+01
1.320000000000000062e+00,1.942584822617916629e+01
1.322999999999999954e+00,1.937437455143390608e+01
1.326000000000000068e+00,1.932303075527897462e+01
1.328999999999999959e+00,1.927181663196719441e+01
1.332000000000000073e+00,1.922073197386078292e+01
1.334999999999999964e+00,1.916977657147748459e+01
1.338000000000000078e+00,1.911895021353600299e+01
1.340999999999999970e+00,1.906825268700086085e+01
1.344000000000000083e+00,1.901768377712634361e+01
1.346999999999999975e+00,1.896724326749933454e+01
1.350000000000000089e+00,1.891693094008201825e+01
1.352999999999999980e+00,1.886674657525349375e+01
1.356000000000000094e+00,1.881668995185037119e+01
1.358999999999999986e+00,1.876676084720727644e+01
1.362000000000000099e+00,1.871695903719586340e+01
1.364999999999999991e+00,1.866728429626413543e+01
1.368000000000000105e+00,1.861773639747401177e+01
1.370999999999999996e+00,1.856831511253891520e+01
1.374000000000000110e+00,1.851902021186044323e+01
1.377000000000000002e+00,1.846985146456433924e+01
1.380000000000000115e+00,1.842080863853602324e+01
1.383000000000000007e+00,1.837189150045526631e+01
1.386000000000000121e+00,1.832309981583061642e+01
1.389000000000000012e+00,1.827443334903251682e+01
1.392000000000000126e+00,1.822589186332637112e+01
1.395000000000000018e+00,1.817747512090516082e+01
1.398000000000000131e+00,1.812918288292099334e+01
1.401000000000000023e+00,1.808101490951612078e+01
1.404000000000000137e+00,1.803297095985409726e+01
1.407000000000000028e+00,1.798505079214922020e+01
1.409999999999999920e+00,1.793725416369657921e+01
1.413000000000000034e+00,1.788958083090090767e+01
1.415999999999999925e+00,1.784203054930482679e+01
1.419000000000000039e+00,1.779460307361712879e+01
1.421999999999999931e+00,1.774729815774024644e+01
1.425000000000000044e+00,1.770011555479675280e+01
1.427999999999999936e+00,1.765305501715650394e+01
1.431000000000000050e+00,1.760611629646206922e+01
1.433999999999999941e+00,1.755929914365450983e+01
1.437000000000000055e+00,1.751260330899852136e+01
1.439999999999999947e+00,1.746602854210667388e+01
1.443000000000000060e+00,1.741957459196386893e+01
1.445999999999999952e+00,1.737324120695101826e+01
1.449000000000000066e+00,1.732702813486806193e+01
1.451999999999999957e+00,1.728093512295726342e+01
1.455000000000000071e+00,1.723496191792512278e+01
1.457999999999999963e+00,1.718910826596454555e+01
1.461000000000000076e+00,1.714337391277680567e+01
1.463999999999999968e+00,1.709775860359237143e+01
1.467000000000000082e+00,1.705226208319166048e+01
1.469999999999999973e+00,1.700688409592569172e+01
1.473000000000000087e+00,1.696162438573619369e+01
1.475999999999999979e+00,1.691648269617495970e+01
1.479000000000000092e+00,1.687145877042354769e+01
1.481999999999999984e+00,1.682655235131190352e+01
1.485000000000000098e+00,1.678176318133713352e+01
1.487999999999999989e+00,1.673709100268172278e+01
1.491000000000000103e+00,1.669253555723140181e+01
1.493999999999999995e+00,1.664809658659288871e+01
1.497000000000000108e+00,1.660377383211092450e+01
1.500000000000000000e+00,1.655956703488530124e+01
1.503000000000000114e+00,1.651547593578739992e+01
1.506000000000000005e+00,1.647150027547660045e+01
1.509000000000000119e+00,1.642763979441616584e+01
1.512000000000000011e+00,1.638389423288886348e+01
1.515000000000000124e+00,1.634026333101267525e+01
1.518000000000000016e+00,1.629674682875525704e+01
1.521000000000000130e+00,1.625334446594963467e+01
1.524000000000000021e+00,1.621005598230773259e+01
1.527000000000000135e+00,1.616688111743536993e+01
1.530000000000000027e+00,1.612381961084589221e+01
1.533000000000000140e+00,1.608087120197403053e+01
1.536000000000000032e+00,1.603803563018912470e+01
1.538999999999999924e+00,1.599531263480852417e+01
1.542000000000000037e+00,1.595270195511044342e+01
1.544999999999999929e+00,1.591020333034652445e+01
1.548000000000000043e+00,1.586781649975442576e+01
1.550999999999999934e+00,1.582554120256999575e+01
1.554000000000000048e+00,1.578337717803906415e+01
1.556999999999999940e+00,1.574132416542930279e+01
1.560000000000000053e+00,1.569938190404180034e+01
1.562999999999999945e+00,1.565755013322200107e+01
1.566000000000000059e+00,1.561582859237108600e+01
1.568999999999999950e+00,1.557421702095666483e+01
1.572000000000000064e+00,1.553271515852332385e+01
1.574999999999999956e+00,1.549132274470300175e+01
1.578000000000000069e+00,1.545003951922543273e+01
1.580999999999999961e+00,1.540886522192788810e+01
1.584000000000000075e+00,1.536779959276502439e+01
1.586999999999999966e+00,1.532684237181843301e+01
1.590000000000000080e+00,1.528599329930625039e+01
1.592999999999999972e+00,1.524525211559210192e+01
1.596000000000000085e+00,1.520461856119419863e+01
1.598999999999999977e+00,1.516409237679438782e+01
1.602000000000000091e+00,1.512367330324657466e+01
1.604999999999999982e+00,1.508336108158509603e+01
1.608000000000000096e+00,1.504315545303355428e+01
1.610999999999999988e+00,1.500305615901236322e+01
1.614000000000000101e+00,1.496306294114707569e+01
1.616999999999999993e+00,1.492317554127607160e+01
1.620000000000000107e+00,1.488339370145825313e+01
1.622999999999999998e+00,1.484371716398048768e+01
1.626000000000000112e+00,1.480414567136499393e+01
1.629000000000000004e+00,1.476467896637626964e+01
1.632000000000000117e+00,1.472531679202867316e+01
1.635000000000000009e+00,1.468605889159274014e+01
1.638000000000000123e+00,1.464690500860215927e+01
1.641000000000000014e+00,1.460785488686036437e+01
1.644000000000000128e+00,1.456890827044692571e+01
1.647000000000000020e+00,1.453006490372388626e+01
1.650000000000000133e+00,1.449132453134194520e+01
1.653000000000000025e+00,1.445268689824646557e+01
1.656000000000000139e+00,1.441415174968338953e+01
1.659000000000000030e+00,1.437571883120514649e+01
1.662000000000000144e+00,1.433738788867603375e+01
1.665000000000000036e+00,1.429915866827791504e+01
1.667999999999999927e+00,1.426103091651576094e+01
1.671000000000000041e+00,1.422300438022262625e+01
1.673999999999999932e+00,1.418507880656503062e+01
1.677000000000000046e+00,1.414725394304795891e+01
1.679999999999999938e+00,1.410952953751986350e+01
1.683000000000000052e+00,1.407190533817728095e+01
1.685999999999999943e+00,1.403438109356982899e+01
1.689000000000000057e+00,1.399695655260453897e+01
1.691999999999999948e+00,1.395963146455062187e+01
1.695000000000000062e+00,1.392240557904368359e+01
1.697999999999999954e+00,1.388527864609003792e+01
1.701000000000000068e+00,1.384825041607096630e+01
1.703999999999999959e+00,1.381132063974678204e+01
1.707000000000000073e+00,1.377448906826083430e+01
1.709999999999999964e+00,1.373775545314329172e+01
